MATCH_ID,SEASON,DATE_TIME,YEAR,HOME_TEAM,AWAY_TEAM,STADIUM,Cities,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,Winner,PENALTY_SHOOT_OUT,ATTENDANCE,-22,-21,-20,-19,-18,-17,-16
mt1,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Manchester City,RB Leipzig,Etihad Stadium,Manchester,6,3,Home,0,38062,0,1,0,0,0,0,0
mt2,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Brugge,1,1,Draw,0,27546,0,1,0,0,0,0,0
mt3,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,Paris Saint-Germain,Manchester City,Parc des Princes,Paris,2,0,Home,0,37350,0,1,0,0,0,0,0
mt4,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,RB Leipzig,Club Brugge KV,Red Bull Arena,Leipzig,1,2,Away,0,23500,0,1,0,0,0,0,0
mt5,2021-2022,19-OCT-21 05.45.00.000000000 PM,2021,Club Brugge KV,Manchester City,Jan Breydel Stadion,Brugge,1,5,Away,0,24915,0,1,0,0,0,0,0
mt6,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,Paris Saint-Germain,RB Leipzig,Parc des Princes,Paris,3,2,Home,0,47359,0,1,0,0,0,0,0
mt7,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,RB Leipzig,Paris Saint-Germain,Red Bull Arena,Leipzig,2,2,Draw,0,39794,0,1,0,0,0,0,0
mt8,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,Manchester City,Club Brugge KV,Etihad Stadium,Manchester,4,1,Home,0,50228,0,1,0,0,0,0,0
mt9,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Manchester City,Paris Saint-Germain,Etihad Stadium,Manchester,2,1,Home,0,52030,0,1,0,0,0,0,0
mt10,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Club Brugge KV,RB Leipzig,Jan Breydel Stadion,Brugge,0,5,Away,0,24072,0,1,0,0,0,0,0
mt11,2021-2022,07-DEC-21 05.45.00.000000000 PM,2021,RB Leipzig,Manchester City,Red Bull Arena,Leipzig,2,1,Home,0,0,0,1,0,0,0,0,0
mt12,2021-2022,07-DEC-21 05.45.00.000000000 PM,2021,Paris Saint-Germain,Club Brugge KV,Parc des Princes,Paris,4,1,Home,0,47492,0,1,0,0,0,0,0
mt13,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Atlético Madrid,FC Porto,Wanda Metropolitano,Madrid,0,0,Draw,0,40098,0,1,0,0,0,0,0
mt14,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Liverpool FC,AC Milan,Anfield,Liverpool,3,2,Home,0,51445,0,1,0,0,0,0,0
mt15,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,FC Porto,Liverpool FC,Estádio do Dragão,Porto,1,5,Away,0,23520,0,1,0,0,0,0,0
mt16,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,AC Milan,Atlético Madrid,Giuseppe Meazza,Milano,1,2,Away,0,35374,0,1,0,0,0,0,0
mt17,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,Atlético Madrid,Liverpool FC,Wanda Metropolitano,Madrid,2,3,Away,0,60725,0,1,0,0,0,0,0
mt18,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,FC Porto,AC Milan,Estádio do Dragão,Porto,1,0,Home,0,32130,0,1,0,0,0,0,0
mt19,2021-2022,03-NOV-21 05.45.00.000000000 PM,2021,AC Milan,FC Porto,Giuseppe Meazza,Milano,1,1,Draw,0,39675,0,1,0,0,0,0,0
mt20,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,Liverpool FC,Atlético Madrid,Anfield,Liverpool,2,0,Home,0,51347,0,1,0,0,0,0,0
mt21,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Liverpool FC,FC Porto,Anfield,Liverpool,2,0,Home,0,52209,0,1,0,0,0,0,0
mt22,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Atlético Madrid,AC Milan,Wanda Metropolitano,Madrid,0,1,Away,0,61019,0,1,0,0,0,0,0
mt23,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,FC Porto,Atlético Madrid,Estádio do Dragão,Porto,1,3,Away,0,38830,0,1,0,0,0,0,0
mt24,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,AC Milan,Liverpool FC,Giuseppe Meazza,Milano,1,2,Away,0,56237,0,1,0,0,0,0,0
mt25,2021-2022,15-SEP-21 05.45.00.000000000 PM,2021,Beşiktaş,Borussia Dortmund,Vodafone Park,Istanbul,1,2,Away,0,22445,0,1,0,0,0,0,0
mt26,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Sporting CP,AFC Ajax,Estádio José Alvalade,Lisboa,1,5,Away,0,20382,0,1,0,0,0,0,0
mt27,2021-2022,28-SEP-21 05.45.00.000000000 PM,2021,AFC Ajax,Beşiktaş,Johan Cruijff ArenA,Amsterdam,2,0,Home,0,52628,0,1,0,0,0,0,0
