"MATCH_ID","SEASON","DATE_TIME","YEAR","HOME_TEAM","AWAY_TEAM","STADIUM","Cities","HOME_TEAM_SCORE","AWAY_TEAM_SCORE","Winner","PENALTY_SHOOT_OUT","ATTENDANCE"
"mt1","2021-2022","15-SEP-21 08.00.00.000000000 PM","2021","Manchester City","RB Leipzig","Etihad Stadium","Manchester","6","3","Home","0","38062"
"mt2","2021-2022","15-SEP-21 08.00.00.000000000 PM","2021","Club Brugge KV","Paris Saint-Germain","Jan Breydel Stadion","Brugge","1","1","Draw","0","27546"
"mt3","2021-2022","28-SEP-21 08.00.00.000000000 PM","2021","Paris Saint-Germain","Manchester City","Parc des Princes","Paris","2","0","Home","0","37350"
"mt4","2021-2022","28-SEP-21 08.00.00.000000000 PM","2021","RB Leipzig","Club Brugge KV","Red Bull Arena","Leipzig","1","2","Away","0","23500"
"mt5","2021-2022","19-OCT-21 05.45.00.000000000 PM","2021","Club Brugge KV","Manchester City","Jan Breydel Stadion","Brugge","1","5","Away","0","24915"
"mt6","2021-2022","19-OCT-21 08.00.00.000000000 PM","2021","Paris Saint-Germain","RB Leipzig","Parc des Princes","Paris","3","2","Home","0","47359"
"mt7","2021-2022","03-NOV-21 08.00.00.000000000 PM","2021","RB Leipzig","Paris Saint-Germain","Red Bull Arena","Leipzig","2","2","Draw","0","39794"
"mt8","2021-2022","03-NOV-21 08.00.00.000000000 PM","2021","Manchester City","Club Brugge KV","Etihad Stadium","Manchester","4","1","Home","0","50228"
"mt9","2021-2022","24-NOV-21 08.00.00.000000000 PM","2021","Manchester City","Paris Saint-Germain","Etihad Stadium","Manchester","2","1","Home","0","52030"
"mt10","2021-2022","24-NOV-21 08.00.00.000000000 PM","2021","Club Brugge KV","RB Leipzig","Jan Breydel Stadion","Brugge","0","5","Away","0","24072"
"mt11","2021-2022","07-DEC-21 05.45.00.000000000 PM","2021","RB Leipzig","Manchester City","Red Bull Arena","Leipzig","2","1","Home","0","0"
