"YEAR","Cities"
"2021","Manchester"
"2021","Paris"
"2021","Paris"
"2021","Manchester"
"2021","Manchester"
"2021","Leipzig"
"2021","Paris"
"2021","Liverpool"
"2021","Porto"
"2021","Liverpool"
"2021","Liverpool"
"2021","Amsterdam"
"2021","Dortmund"
"2021","Amsterdam"
"2021","Lisbon"
"2021","Lisbon"
"2021","Amsterdam"
"2021","Dortmund"
"2021","Tiraspol"
"2021","Milan"
"2021","Madrid"
"2021","Milan"
"2021","Madrid"
"2021","Lisbon"
"2021","Munich"
"2021","Barcelona"
"2021","Munich"
"2021","Munich"
"2021","Lisbon"
"2021","Bern"
"2021","Bergamo"
"2021","Manchester"
"2021","Manchester"
"2021","Villarreal"
"2021","Leipzig"
"2021","Leipzig"
"2021","Wolfsburg"
"2021","Villeneuve D’Ascq"
"2021","Sevilla"
"2021","Leipzig"
"2021","London"
"2021","St. Petersburg"
"2021","Turin"
"2021","London"
"2021","Turin"
"2021","London"
"2021","Turin"
"2022","Paris"
"2022","London"
"2022","Munich"
"2022","Madrid"
"2022","Manchester"
"2022","Villarreal"
"2022","Manchester"
"2022","Liverpool"
"2022","Madrid"
"2020","Munich"
"2020","Madrid"
"2020","Munich"
"2020","Munich"
"2020","Madrid"
"2020","Mönchengladbach"
"2020","Kyiv"
"2020","Madrid"
"2020","Manchester"
"2020","Piräus"
"2020","Porto"
"2020","Porto"
"2020","Manchester"
"2020","Marseille"
"2020","Manchester"
"2020","Liverpool"
"2020","Amsterdam"
"2020","Liverpool"
"2020","Sevilla"
"2020","London"
"2020","Sevilla"
"2020","Krasnodar"
"2020","Rome"
"2020","Dortmund"
"2020","Dortmund"
"2020","Rome"
"2020","Brugge"
"2020","Barcelona"
"2020","Barcelona"
"2020","Turin"
"2020","Turin"
"2020","Kyiv"
"2020","Leipzig"
"2020","Manchester"
"2020","Istanbul"
"2020","Leipzig"
"2020","Manchester"
"2020","Paris"
"2020","Leipzig"
"2020","Paris"
"2021","Porto"
"2021","Turin"
"2021","Budapest"
"2021","Budapest"
"2021","Madrid"
"2021","Munich"
"2021","London"
"2021","Manchester"
"2021","Madrid"
"2021","Manchester"
"2021","London"
"2019","Paris"
"2019","Paris"
"2019","Madrid"
"2019","Paris"
"2019","Munich"
"2019","Beograd"
"2019","London"
"2019","Munich"
"2019","London"
"2019","Munich"
"2019","Piräus"
"2019","Zagreb"
"2019","Manchester"
"2019","Manchester"
"2019","Milan"
"2019","Turin"
"2019","Madrid"
"2019","Turin"
"2019","Leverkusen"
"2019","Turin"
"2019","Madrid"
"2019","Naples"
"2019","Leipzig"
"2019","Liverpool"
"2019","Liverpool"
"2019","Naples"
"2019","Barcelona"
"2019","Milan"
"2019","Dortmund"
