Country,Appearances,Best performance
Afghanistan,0.0,Never participated
Albania,0.0,Never participated
Algeria,4.0,Round of 16 
American Samoa,0.0,Never participated
Andorra,0.0,Never participated
Angola,1.0,Group stage
Anguilla,0.0,Never participated
Antarctica,0.0,Never participated
Antigua and Barbuda,0.0,Never participated
Argentina,18.0,Champions 
Armenia,0.0,Never participated
Aruba,0.0,Never participated
Australia,6.0,Round of 16 
Austria,7.0,Third place 
Azerbaijan,0.0,Never participated
Azores,0.0,Never participated
Bahamas,0.0,Never participated
Bahrain,0.0,Never participated
Bangladesh,0.0,Never participated
Barbados,0.0,Never participated
Belarus,0.0,Never participated
Belgium,14.0,Third place 
Belize,0.0,Never participated
Benin,0.0,Never participated
Bermuda,0.0,Never participated
Bhutan,0.0,Never participated
Bolivia,3.0,Group stage
Bonaire,0.0,Never participated
Bosnia and Herzegovina,1.0,Group stage
Botswana,0.0,Never participated
Bouvet Island,0.0,Never participated
Brazil,22.0,Champions 
British Indian Ocean Territory,0.0,Never participated
British Virgin Islands,0.0,Never participated
Brunei Darussalam,0.0,Never participated
Bulgaria,7.0,Fourth place 
Burkina Faso,0.0,Never participated
Burundi,0.0,Never participated
Cabo Verde,0.0,Never participated
Cambodia,0.0,Never participated
Cameroon,8.0,Quarterfinals 
Canada,3.0,Group stage
Canarias,0.0,Never participated
Cayman Islands,0.0,Never participated
Central African Republic,0.0,Never participated
Chad,0.0,Never participated
Chile,9.0,Third place 
China,1.0,Group stage
Christmas Island,0.0,Never participated
Cocos Islands,0.0,Never participated
Colombia,6.0,Quarterfinals 
Comoros,0.0,Never participated
Congo,0.0,Never participated
Congo DRC,0.0,Never participated
Cook Islands,0.0,Never participated
Costa Rica,6.0,Quarterfinals 
Côte d'Ivoire,0.0,Never participated
Croatia,6.0,Runners-up 
Cuba,1.0,Quarterfinals 
Curacao,0.0,Never participated
Cyprus,0.0,Never participated
Czech Republic,9.0,Runners-up 
Denmark,6.0,Quarterfinals 
Djibouti,0.0,Never participated
Dominica,0.0,Never participated
Dominican Republic,0.0,Never participated
Ecuador,4.0,Round of 16 
Egypt,3.0,Round of 16 
El Salvador,2.0,Group stage
Equatorial Guinea,0.0,Never participated
Eritrea,0.0,Never participated
Estonia,0.0,Never participated
Eswatini,0.0,Never participated
Ethiopia,0.0,Never participated
Falkland Islands,0.0,Never participated
Faroe Islands,0.0,Never participated
Fiji,0.0,Never participated
Finland,0.0,Never participated
France,16.0,Champions 
French Guiana,0.0,Never participated
French Polynesia,0.0,Never participated
French Southern Territories,0.0,Never participated
Gabon,0.0,Never participated
Gambia,0.0,Never participated
Georgia,0.0,Never participated
Germany,20.0,Champions 
Ghana,4.0,Quarterfinals 
Gibraltar,0.0,Never participated
Glorioso Islands,0.0,Never participated
Greece,3.0,Round of 16 
Greenland,0.0,Never participated
Grenada,0.0,Never participated
Guadeloupe,0.0,Never participated
Guam,0.0,Never participated
Guatemala,0.0,Never participated
Guernsey,0.0,Never participated
Guinea,0.0,Never participated
Guinea-Bissau,0.0,Never participated
Guyana,0.0,Never participated
Haiti,1.0,Group stage
Heard Island and McDonald Islands,0.0,Never participated
Honduras,3.0,Group stage
Hungary,9.0,Runners-up 
Iceland,1.0,Group stage
India,0.0,Never participated
Indonesia,1.0,Round of 16 
Iran,6.0,Group stage
Iraq,1.0,Group stage
Ireland,0.0,Never participated
Isle of Man,0.0,Never participated
Israel,1.0,Group stage
Italy,18.0,Champions 
Jamaica,1.0,Group stage
Japan,7.0,Round of 16 
Jersey,0.0,Never participated
Jordan,0.0,Never participated
Juan De Nova Island,0.0,Never participated
Kazakhstan,0.0,Never participated
Kenya,0.0,Never participated
Kiribati,0.0,Never participated
Kuwait,1.0,Group stage
