,announcements,Date,indices,value,ID
0,-21,2008-10-27,BRL,0.4485310614109039,BRL2008
1,-20,2008-10-28,BRL,0.4628986716270447,BRL2008
2,-19,2008-10-29,BRL,0.4742932915687561,BRL2008
3,-18,2008-10-30,BRL,0.4836758971214294,BRL2008
4,-17,2008-10-31,BRL,0.4768717586994171,BRL2008
5,-16,2008-11-03,BRL,0.4718316495418548,BRL2008
6,-15,2008-11-04,BRL,0.4780571758747101,BRL2008
7,-14,2008-11-05,BRL,0.4736418426036834,BRL2008
8,-13,2008-11-06,BRL,0.4682086706161499,BRL2008
9,-12,2008-11-07,BRL,0.4660918414592743,BRL2008
10,-11,2008-11-10,BRL,0.4711425304412842,BRL2008
11,-10,2008-11-11,BRL,0.4599815905094147,BRL2008
12,-9,2008-11-12,BRL,0.4483299851417541,BRL2008
13,-8,2008-11-13,BRL,0.4381161034107208,BRL2008
14,-7,2008-11-14,BRL,0.4491353929042816,BRL2008
15,-6,2008-11-17,BRL,0.4439511597156524,BRL2008
16,-5,2008-11-18,BRL,0.4447409212589264,BRL2008
17,-4,2008-11-19,BRL,0.4275331497192383,BRL2008
18,-3,2008-11-20,BRL,0.4259850680828094,BRL2008
19,-2,2008-11-21,BRL,0.4158004224300384,BRL2008
20,-1,2008-11-24,BRL,0.4396377205848694,BRL2008
21,0,2008-11-25,BRL,0.4437541663646698,BRL2008
22,1,2008-11-26,BRL,0.4428698122501373,BRL2008
23,2,2008-11-27,BRL,0.4548555910587311,BRL2008
24,3,2008-11-28,BRL,0.44312492,BRL2008
25,4,2008-12-01,BRL,0.4264392256736755,BRL2008
26,5,2008-12-02,BRL,0.4295532405376434,BRL2008
27,6,2008-12-03,BRL,0.426348328590393,BRL2008
28,7,2008-12-04,BRL,0.4113872051239013,BRL2008
29,8,2008-12-05,BRL,0.3897116184234619,BRL2008
30,9,2008-12-08,BRL,0.3982477188110351,BRL2008
31,10,2008-12-09,BRL,0.4107619524002075,BRL2008
32,11,2008-12-10,BRL,0.4198152720928192,BRL2008
33,12,2008-12-11,BRL,0.4465282261371612,BRL2008
34,13,2008-12-12,BRL,0.4256224930286407,BRL2008
35,14,2008-12-15,BRL,0.4326195120811462,BRL2008
36,15,2008-12-16,BRL,0.431592583656311,BRL2008
37,16,2008-12-17,BRL,0.431034505367279,BRL2008
38,17,2008-12-18,BRL,0.426257461,BRL2008
39,18,2008-12-19,BRL,0.4218519032001495,BRL2008
40,19,2008-12-22,BRL,0.4240342676639557,BRL2008
41,20,2008-12-23,BRL,0.4299041032791137,BRL2008
42,21,2008-12-24,BRL,0.4299041032791137,BRL2008
43,-22,2010-10-04,BRL,0.6121824383735657,BRL2010
44,-21,2010-10-05,BRL,0.5891016125679016,BRL2010
45,-20,2010-10-06,BRL,0.5991611480712891,BRL2010
46,-19,2010-10-07,BRL,0.5938242077827454,BRL2010
47,-18,2010-10-08,BRL,0.5960185527801514,BRL2010
48,-17,2010-10-11,BRL,0.615081787,BRL2010
49,-16,2010-10-12,BRL,0.6019382476806641,BRL2010
50,-15,2010-10-13,BRL,0.598802388,BRL2010
51,-14,2010-10-14,BRL,0.6051437258720398,BRL2010
52,-13,2010-10-15,BRL,0.6021919846534729,BRL2010
53,-12,2010-10-18,BRL,0.6225099563598633,BRL2010
54,-11,2010-10-19,BRL,0.5980861186981201,BRL2010
55,-10,2010-10-20,BRL,0.591715932,BRL2010
56,-9,2010-10-21,BRL,0.5970149636268616,BRL2010
57,-8,2010-10-22,BRL,0.5903187990188599,BRL2010
58,-7,2010-10-25,BRL,0.6083095073699951,BRL2010
59,-6,2010-10-26,BRL,0.5883045196533203,BRL2010
60,-5,2010-10-27,BRL,0.58744055,BRL2010
61,-4,2010-10-28,BRL,0.5817335844039917,BRL2010
62,-3,2010-10-29,BRL,0.5836008191108704,BRL2010
63,-2,2010-11-01,BRL,0.6074596047401428,BRL2010
64,-1,2010-11-02,BRL,0.5867511630058289,BRL2010
65,0,2010-11-03,BRL,0.5878894925117493,BRL2010
66,1,2010-11-04,BRL,0.5920662879943848,BRL2010
67,2,2010-11-05,BRL,0.5971218943595886,BRL2010
68,3,2010-11-08,BRL,0.5955926179885864,BRL2010
69,4,2010-11-09,BRL,0.5896226763725281,BRL2010
70,5,2010-11-10,BRL,0.5896226763725281,BRL2010
71,6,2010-11-11,BRL,0.5847952961921692,BRL2010
72,7,2010-11-12,BRL,0.5808887481689453,BRL2010
73,8,2010-11-15,BRL,0.5986589789390564,BRL2010
74,9,2010-11-16,BRL,0.5813953280448914,BRL2010
75,10,2010-11-17,BRL,0.5760368704795837,BRL2010
76,11,2010-11-18,BRL,0.5793071389198303,BRL2010
77,12,2010-11-19,BRL,0.5844535231590271,BRL2010
78,13,2010-11-22,BRL,0.5977286100387573,BRL2010
79,14,2010-11-23,BRL,0.581125021,BRL2010
80,15,2010-11-24,BRL,0.5768675804138184,BRL2010
81,16,2010-11-25,BRL,0.580720067,BRL2010
82,17,2010-11-26,BRL,0.5829204320907593,BRL2010
83,18,2010-11-29,BRL,0.5781683921813965,BRL2010
