datetime,count_searches,game_day
2024-02-01,7,0
2024-02-02,16,0
2024-02-03,25,1
2024-02-04,19,1
2024-02-05,7,0
2024-02-06,11,0
2024-02-07,11,0
2024-02-08,9,0
2024-02-09,12,0
2024-02-10,16,1
2024-02-11,17,1
2024-02-12,10,0
2024-02-13,7,0
2024-02-14,11,0
2024-02-15,12,0
2024-02-16,9,0
2024-02-17,12,1
2024-02-18,8,1
2024-02-19,5,0
2024-02-20,18,0
2024-02-21,7,0
2024-02-22,7,0
2024-02-23,9,0
2024-02-24,24,1
2024-02-25,5,0
2024-02-26,2,0
2024-02-27,11,1
2024-02-28,14,1
2024-02-29,7,0
2024-03-01,6,0
2024-03-02,8,0
2024-03-03,10,1
2024-03-04,8,0
2024-03-05,3,0
2024-03-06,10,1
2024-03-07,15,0
2024-03-08,8,0
2024-03-09,4,0
2024-03-10,7,0
2024-03-11,14,1
2024-03-12,7,0
2024-03-13,5,0
2024-03-14,5,0
2024-03-15,9,0
2024-03-16,13,1
2024-03-17,2,0
2024-03-18,10,0
2024-03-19,7,0
2024-03-20,6,0
2024-03-21,14,0
2024-03-22,9,0
2024-03-23,4,0
2024-03-24,1,0
2024-03-25,6,0
2024-03-26,4,0
2024-03-27,10,0
2024-03-28,9,0
2024-03-29,9,0
2024-03-30,9,0
2024-03-31,8,0
