Date_x,Values_ARG,Relative_Date,Date_fr,Values_FR,Date_y,Values_DE,Date,Values_ES,Date_it,Values_IT,Date_bra,Values_BRA
2022-12-16,0.230%,0,2018-07-16,-0.360%,2014-07-11,0.070%,2010-07-09,0.460%,2006-07-07,-0.270%,2002-06-28,1.930%
,,+1,2018-07-17,0.240%,,,,,,,,
2022-12-26,2.500%,+10,2018-07-26,1.000%,2014-07-21,-1.110%,2010-07-19,-0.620%,2006-07-17,-0.450%,2002-07-08,2.270%
,,+100,2018-10-24,-0.290%,,,,,,,,
2023-03-27,6.600%,+101,2018-10-25,1.600%,2014-10-20,-1.500%,2010-10-18,0.270%,2006-10-16,0.180%,2002-10-07,-5.040%
2023-03-28,3.700%,+102,2018-10-26,-1.290%,2014-10-21,1.940%,2010-10-19,-0.020%,2006-10-17,-1.290%,2002-10-08,0.610%
2023-03-29,2.770%,+103,,,2014-10-22,0.600%,2010-10-20,0.010%,2006-10-18,0.870%,2002-10-09,-2.160%
2023-03-30,1.020%,+104,,,2014-10-23,1.200%,2010-10-21,-0.040%,2006-10-19,-0.100%,2002-10-10,2.260%
2023-03-31,-2.350%,+105,2018-10-29,0.440%,2014-10-24,-0.660%,2010-10-22,0.300%,2006-10-20,0.080%,2002-10-11,-0.850%
,,+106,2018-10-30,-0.220%,,,,,,,,
,,+107,2018-10-31,2.310%,,,,,,,,
2023-04-03,3.650%,+108,2018-11-01,-0.150%,2014-10-27,-0.950%,2010-10-25,-0.500%,2006-10-23,-0.220%,2002-10-14,-4.670%
2023-04-04,-1.260%,+109,2018-11-02,0.320%,2014-10-28,1.860%,2010-10-26,-0.670%,2006-10-24,-0.210%,2002-10-15,1.460%
2022-12-27,1.590%,+11,2018-07-27,0.570%,2014-07-22,1.270%,2010-07-20,1.320%,2006-07-18,-0.290%,,
2023-04-05,0.540%,+110,,,2014-10-29,0.160%,2010-10-27,-0.900%,2006-10-25,0.280%,2002-10-16,0.000%
,,+111,,,2014-10-30,0.350%,2010-10-28,0.500%,2006-10-26,-0.270%,2002-10-17,8.320%
,,+112,2018-11-05,-0.010%,2014-10-31,2.330%,2010-10-29,0.550%,2006-10-27,0.080%,2002-10-18,1.220%
,,+113,2018-11-06,-0.510%,,,,,,,,
,,+114,2018-11-07,1.240%,,,,,,,,
2023-04-10,1.540%,+115,2018-11-08,-0.130%,2014-11-03,-0.810%,2010-11-01,-1.510%,2006-10-30,0.120%,2002-10-21,0.760%
2023-04-11,1.250%,+116,2018-11-09,-0.480%,2014-11-04,-0.920%,2010-11-02,1.060%,2006-10-31,0.450%,2002-10-22,1.930%
2023-04-12,2.650%,+117,,,2014-11-05,1.630%,2010-11-03,-1.790%,2006-11-01,0.490%,2002-10-23,4.790%
2023-04-13,1.300%,+118,,,2014-11-06,0.660%,2010-11-04,0.320%,2006-11-02,-0.430%,2002-10-24,-0.140%
2023-04-14,1.990%,+119,2018-11-12,-0.930%,2014-11-07,-0.910%,2010-11-05,-1.650%,2006-11-03,0.580%,2002-10-25,2.710%
2022-12-28,3.590%,+12,,,2014-07-23,0.200%,2010-07-21,-0.200%,2006-07-19,2.270%,2002-07-10,-1.690%
,,+120,2018-11-13,0.850%,,,,,,,,
,,+121,2018-11-14,-0.650%,,,,,,,,
2023-04-17,2.020%,+122,2018-11-15,-0.700%,2014-11-10,0.650%,2010-11-08,-1.310%,2006-11-06,1.000%,2002-10-28,-5.040%
2023-04-18,1.070%,+123,2018-11-16,-0.170%,2014-11-11,0.180%,2010-11-09,1.150%,2006-11-07,0.300%,2002-10-29,-0.440%
2023-04-19,-3.130%,+124,,,2014-11-12,-1.690%,2010-11-10,-1.680%,2006-11-08,0.190%,2002-10-30,5.890%
2023-04-20,2.330%,+125,,,2014-11-13,0.410%,2010-11-11,-0.840%,2006-11-09,-0.270%,2002-10-31,0.350%
2023-04-21,3.220%,+126,2018-11-19,-0.790%,2014-11-14,0.050%,2010-11-12,0.760%,2006-11-10,0.450%,2002-11-01,-0.140%
,,+127,2018-11-20,-1.210%,,,,,,,,
,,+128,2018-11-21,1.030%,,,,,,,,
2023-04-24,2.930%,+129,2018-11-22,-0.750%,2014-11-17,0.580%,2010-11-15,1.200%,2006-11-13,0.270%,2002-11-04,-2.020%
2022-12-29,-1.580%,+13,,,2014-07-24,0.420%,2010-07-22,2.610%,2006-07-20,-0.260%,2002-07-11,2.840%
2023-04-25,1.210%,+130,2018-11-23,0.180%,2014-11-18,1.610%,2010-11-16,-2.460%,2006-11-14,-0.210%,2002-11-05,-0.960%
2023-04-26,0.570%,+131,,,2014-11-19,0.170%,2010-11-17,0.930%,2006-11-15,0.770%,2002-11-06,-2.250%
2023-04-27,-2.620%,+132,,,2014-11-20,0.120%,2010-11-18,1.330%,2006-11-16,0.010%,2002-11-07,1.480%
2023-04-28,0.390%,+133,2018-11-26,0.970%,2014-11-21,2.620%,2010-11-19,-0.520%,2006-11-17,-0.410%,2002-11-08,0.750%
,,+134,2018-11-27,-0.240%,,,,,,,,
,,+135,2018-11-28,0.000%,,,,,,,,
,,+136,2018-11-29,0.460%,2014-11-24,0.540%,2010-11-22,-2.680%,2006-11-20,0.180%,2002-11-11,0.070%
2023-05-02,-0.780%,+137,2018-11-30,-0.050%,2014-11-25,0.770%,2010-11-23,-3.050%,2006-11-21,0.110%,2002-11-12,-1.760%
2023-05-03,-2.580%,+138,,,2014-11-26,0.550%,2010-11-24,0.520%,2006-11-22,0.240%,2002-11-13,-0.130%
2023-05-04,-2.170%,+139,,,2014-11-27,0.600%,2010-11-25,-0.210%,2006-11-23,0.000%,2002-11-14,0.000%
2022-12-30,1.370%,+14,2018-07-30,-0.370%,2014-07-25,-1.530%,2010-07-23,0.830%,2006-07-21,-0.820%,2002-07-12,1.030%
2023-05-05,5.460%,+140,2018-12-03,1.000%,2014-11-28,0.060%,2010-11-26,-1.800%,2006-11-24,-0.610%,,
,,+141,2018-12-04,-0.820%,,,,,,,,
,,+142,2018-12-05,-1.360%,,,,,,,,
2023-05-08,2.440%,+143,2018-12-06,-3.320%,2014-12-01,-0.170%,2010-11-29,-2.330%,2006-11-27,-1.460%,2002-11-18,2.280%
2023-05-09,1.110%,+144,2018-12-07,0.680%,2014-12-02,-0.300%,2010-11-30,-0.620%,2006-11-28,0.190%,2002-11-19,0.520%
2023-05-10,0.890%,+145,,,2014-12-03,0.380%,2010-12-01,4.440%,2006-11-29,1.090%,2002-11-20,0.260%
2023-05-11,0.900%,+146,,,2014-12-04,-1.210%,2010-12-02,2.780%,2006-11-30,-0.660%,2002-11-21,2.030%
2023-05-12,2.630%,+147,2018-12-10,-1.470%,2014-12-05,2.390%,2010-12-03,0.680%,2006-12-01,-0.800%,2002-11-22,1.300%
,,+148,2018-12-11,1.350%,,,,,,,,
,,+149,2018-12-12,2.150%,,,,,,,,
,,+15,2018-07-31,0.370%,,,,,,,,
2023-05-15,-0.290%,+150,2018-12-13,-0.260%,2014-12-08,-0.720%,2010-12-06,-1.250%,2006-12-04,0.520%,2002-11-25,-2.070%
2023-05-16,-0.560%,+151,2018-12-14,-0.880%,2014-12-09,-2.210%,2010-12-07,0.350%,2006-12-05,0.630%,2002-11-26,-1.250%
2023-05-17,2.820%,+152,,,2014-12-10,0.060%,2010-12-08,1.550%,2006-12-06,0.180%,2002-11-27,1.030%
2023-05-18,1.040%,+153,,,2014-12-11,0.640%,2010-12-09,1.060%,2006-12-07,0.480%,2002-11-28,0.040%
2023-05-19,2.250%,+154,2018-12-17,-1.110%,2014-12-12,-2.720%,2010-12-10,-0.620%,2006-12-08,-0.040%,2002-11-29,2.560%
,,+155,2018-12-18,-0.950%,,,,,,,,
,,+156,2018-12-19,0.490%,,,,,,,,
2023-05-22,0.090%,+157,2018-12-20,-1.780%,2014-12-15,-2.720%,2010-12-13,0.290%,2006-12-11,0.580%,2002-12-02,1.950%
2023-05-23,0.530%,+158,2018-12-21,0.040%,2014-12-16,2.460%,2010-12-14,0.110%,2006-12-12,-0.070%,2002-12-03,-0.310%
2023-05-24,0.260%,+159,,,2014-12-17,-0.200%,2010-12-15,-1.500%,2006-12-13,0.580%,2002-12-04,-0.500%
,,+16,2018-08-01,-0.230%,,,,,,,,
,,+160,,,2014-12-18,2.790%,2010-12-16,0.000%,2006-12-14,0.000%,2002-12-05,-3.110%
,,+161,2018-12-24,-1.450%,2014-12-19,-0.250%,2010-12-17,-1.120%,2006-12-15,0.770%,2002-12-06,2.410%
2023-05-29,1.380%,+164,2018-12-27,-0.600%,2014-12-22,0.810%,2010-12-20,0.990%,2006-12-18,-0.170%,2002-12-09,-2.380%
2023-05-30,-0.860%,+165,2018-12-28,1.740%,2014-12-23,0.570%,2010-12-21,2.070%,2006-12-19,-0.300%,2002-12-10,0.100%
2023-05-31,-0.380%,+166,,,,,2010-12-22,-0.200%,2006-12-20,0.220%,2002-12-11,3.200%
2023-06-01,3.300%,+167,,,,,2010-12-23,-0.750%,2006-12-21,-0.100%,2002-12-12,-0.350%
2023-06-02,-0.120%,+168,2018-12-31,1.110%,,,,,2006-12-22,-1.040%,,
2023-01-02,2.460%,+17,2018-08-02,-0.680%,2014-07-28,-0.480%,2010-07-26,1.140%,2006-07-24,1.580%,2002-07-15,-3.250%
2023-06-05,2.240%,+171,,,2014-12-29,0.050%,2010-12-27,-2.060%,2006-12-25,0.000%,2002-12-16,1.550%
2023-06-06,5.520%,+172,,,2014-12-30,-1.220%,2010-12-28,0.050%,2006-12-26,0.000%,2002-12-17,-0.070%
2023-06-07,-0.090%,+173,,,,,2010-12-29,0.790%,2006-12-27,1.240%,2002-12-18,0.000%
2023-06-08,0.130%,+174,,,,,2010-12-30,-1.230%,2006-12-28,0.130%,2002-12-19,0.000%
2023-06-09,0.220%,+175,,,,,,,2006-12-29,0.080%,2002-12-20,9.350%
2023-06-12,-0.020%,+178,,,,,,,,,2002-12-23,0.000%
2023-06-13,0.060%,+179,,,,,,,,,,
2023-01-03,-4.200%,+18,2018-08-03,0.330%,2014-07-29,0.580%,2010-07-27,1.320%,2006-07-25,-0.330%,2002-07-16,-0.880%
2023-06-14,-0.840%,+180,,,,,,,,,,
2023-06-15,3.470%,+181,,,,,,,,,2002-12-26,-1.670%
2023-06-16,4.490%,+182,,,,,,,,,2002-12-27,-1.550%
,,+185,,,,,,,,,2002-12-30,0.000%
,,+186,,,,,,,,,2002-12-31,0.000%
2023-06-21,5.010%,+187,,,,,,,,,,
2023-06-22,-3.420%,+188,,,,,,,,,,
2023-06-23,1.340%,+189,,,,,,,,,,
2023-01-04,1.360%,+19,,,2014-07-30,-0.620%,2010-07-28,-0.010%,2006-07-26,0.470%,2002-07-17,2.290%
2023-06-26,2.770%,+192,,,,,,,,,,
2023-06-27,-3.710%,+193,,,,,,,,,,
2023-06-28,-1.620%,+194,,,,,,,,,,
2023-06-29,1.670%,+195,,,,,,,,,,
2023-06-30,2.360%,+196,,,,,,,,,,
,,+2,2018-07-18,0.460%,,,,,,,,
