,Relative_Date,Stock markets,Values
283,-186,Values_ARG,-1.35%
667,-186,Values_FR,-0.29%
1051,-186,Values_DE,-0.08%
1435,-186,Values_ES,1.72%
1819,-186,Values_IT,0.72%
2203,-186,Values_BRA,0.72%
282,-185,Values_ARG,-0.61%
666,-185,Values_FR,0.52%
1050,-185,Values_DE,0.83%
1434,-185,Values_ES,0.49%
1818,-185,Values_IT,0.36%
2202,-185,Values_BRA,0.36%
281,-184,Values_ARG,1.22%
665,-184,Values_FR,1.22%
1049,-184,Values_DE,-0.09%
1433,-184,Values_ES,0.15%
1817,-184,Values_IT,0.67%
2201,-184,Values_BRA,0.67%
280,-183,Values_ARG,-1.59%
664,-183,Values_FR,-1.59%
1048,-183,Values_DE,-0.80%
1432,-183,Values_ES,-0.46%
1816,-183,Values_IT,-0.69%
2200,-183,Values_BRA,-0.69%
279,-182,Values_ARG,-0.69%
663,-182,Values_FR,-0.13%
1047,-182,Values_DE,0.55%
1431,-182,Values_ES,-0.03%
1815,-182,Values_IT,0.78%
2199,-182,Values_BRA,0.78%
278,-181,Values_ARG,0.78%
662,-181,Values_FR,0.07%
1046,-181,Values_DE,0.07%
1430,-181,Values_ES,0.07%
1814,-181,Values_IT,0.07%
2198,-181,Values_BRA,0.07%
277,-180,Values_ARG,0.07%
661,-180,Values_FR,-0.36%
1045,-180,Values_DE,-0.36%
1429,-180,Values_ES,-0.36%
1813,-180,Values_IT,-0.36%
2197,-180,Values_BRA,-0.36%
275,-179,Values_ARG,-0.36%
659,-179,Values_FR,0.02%
1043,-179,Values_DE,0.39%
1427,-179,Values_ES,-0.73%
1811,-179,Values_IT,-0.38%
2195,-179,Values_BRA,-0.38%
274,-178,Values_ARG,-0.59%
658,-178,Values_FR,0.58%
1042,-178,Values_DE,0.32%
1426,-178,Values_ES,-0.90%
1810,-178,Values_IT,-0.22%
2194,-178,Values_BRA,-0.22%
273,-177,Values_ARG,-1.02%
657,-177,Values_FR,-1.02%
1041,-177,Values_DE,2.03%
1425,-177,Values_ES,-0.07%
1809,-177,Values_IT,1.11%
2193,-177,Values_BRA,2.26%
272,-176,Values_ARG,-2.91%
656,-176,Values_FR,-2.91%
1040,-176,Values_DE,-0.17%
1424,-176,Values_ES,0.35%
1808,-176,Values_IT,0.31%
2192,-176,Values_BRA,2.08%
271,-175,Values_ARG,-0.68%
655,-175,Values_FR,0.28%
1039,-175,Values_DE,0.26%
1423,-175,Values_ES,-1.29%
1807,-175,Values_IT,-1.08%
2191,-175,Values_BRA,1.01%
