Relative_Date,Stock markets,Values
-186,Values_ARG,-1.35
-186,Values_FR,-0.29
-186,Values_DE,-0.08
-186,Values_ES,1.72
-186,Values_IT,0.72
-186,Values_BRA,0.72
-185,Values_ARG,-0.61
-185,Values_FR,0.52
-185,Values_DE,0.83
-185,Values_ES,0.49
-185,Values_IT,0.36
-185,Values_BRA,0.36
-184,Values_ARG,1.22
-184,Values_FR,1.22
-184,Values_DE,-0.09
-184,Values_ES,0.15
-184,Values_IT,0.67
-184,Values_BRA,0.67
-183,Values_ARG,-1.59
-183,Values_FR,-1.59
-183,Values_DE,-0.8
-183,Values_ES,-0.46
-183,Values_IT,-0.69
-183,Values_BRA,-0.69
-182,Values_ARG,-0.69
-182,Values_FR,-0.13
-182,Values_DE,0.55
-182,Values_ES,-0.03
-182,Values_IT,0.78
-182,Values_BRA,0.78
-181,Values_ARG,0.78
-181,Values_FR,0.07
-181,Values_DE,0.07
-181,Values_ES,0.07
-181,Values_IT,0.07
-181,Values_BRA,0.07
-180,Values_ARG,0.07
-180,Values_FR,-0.36
-180,Values_DE,-0.36
-180,Values_ES,-0.36
-180,Values_IT,-0.36
-180,Values_BRA,-0.36
-179,Values_ARG,-0.36
-179,Values_FR,0.02
-179,Values_DE,0.39
-179,Values_ES,-0.73
-179,Values_IT,-0.38
-179,Values_BRA,-0.38
-178,Values_ARG,-0.59
-178,Values_FR,0.58
-178,Values_DE,0.32
-178,Values_ES,-0.9
-178,Values_IT,-0.22
-178,Values_BRA,-0.22
-177,Values_ARG,-1.02
-177,Values_FR,-1.02
-177,Values_DE,2.03
-177,Values_ES,-0.07
-177,Values_IT,1.11
-177,Values_BRA,2.26
-176,Values_ARG,-2.91
-176,Values_FR,-2.91
-176,Values_DE,-0.17
-176,Values_ES,0.35
-176,Values_IT,0.31
-176,Values_BRA,2.08
-175,Values_ARG,-0.68
-175,Values_FR,0.28
-175,Values_DE,0.26
-175,Values_ES,-1.29
-175,Values_IT,-1.08
-175,Values_BRA,1.01
-174,Values_ARG,1.01
-174,Values_FR,-0.12
-174,Values_DE,-0.12
-174,Values_ES,-0.12
-174,Values_IT,-0.12
-174,Values_BRA,-0.12
-173,Values_ARG,-0.12
-173,Values_FR,-0.72
-173,Values_DE,-0.72
-173,Values_ES,-0.72
-173,Values_IT,-0.72
-173,Values_BRA,-0.72
-172,Values_ARG,3.76
-172,Values_FR,-0.25
-172,Values_DE,-0.28
-172,Values_ES,0.22
-172,Values_IT,1
-172,Values_BRA,0.29
-171,Values_ARG,2.9
-171,Values_FR,0.87
-171,Values_DE,0.15
-171,Values_ES,1.28
-171,Values_IT,-0.75
-171,Values_BRA,-1.96
-170,Values_ARG,-0.07
-170,Values_FR,-0.07
-170,Values_DE,-0.1
-170,Values_ES,-2.61
-170,Values_IT,-0.9
-170,Values_BRA,-1.06
-169,Values_ARG,0.36
-169,Values_FR,0.36
-169,Values_DE,-0.92
-169,Values_ES,-2.26
-169,Values_IT,0.17
-169,Values_BRA,-2.88
-168,Values_ARG,1.81
-168,Values_FR,-0.14
-168,Values_DE,-2.48
-168,Values_ES,-0.62
-168,Values_IT,-1.12
-168,Values_BRA,-0.13
-167,Values_ARG,-0.13
-167,Values_FR,-0.87
-167,Values_DE,-0.87
-167,Values_ES,-0.87
-167,Values_IT,-0.87
-167,Values_BRA,-0.87
-166,Values_ARG,-0.87
-166,Values_FR,0.15
-166,Values_DE,0.15
-166,Values_ES,0.15
-166,Values_IT,0.15
-166,Values_BRA,0.15
-165,Values_ARG,-1.02
-165,Values_FR,-0.5
-165,Values_DE,-0.46
-165,Values_ES,-1.09
-165,Values_IT,0.3
-165,Values_BRA,-3.8
-164,Values_ARG,3.99
-164,Values_FR,-1.64
-164,Values_DE,0.62
-164,Values_ES,0.87
-164,Values_IT,-0.38
-164,Values_BRA,-0.75
-163,Values_ARG,2.57
-163,Values_FR,2.57
-163,Values_DE,-0.75
-163,Values_ES,-2.69
-163,Values_IT,0.78
-163,Values_BRA,0.46
-162,Values_ARG,7.56
-162,Values_FR,7.56
-162,Values_DE,0.39
-162,Values_ES,-1.93
-162,Values_IT,1.55
-162,Values_BRA,1.59
-161,Values_ARG,3.51
-161,Values_FR,-1.48
-161,Values_DE,-0.71
-161,Values_ES,1.09
-161,Values_IT,0.59
-161,Values_BRA,0.25
-160,Values_ARG,0.25
-160,Values_FR,-2.35
-160,Values_DE,-2.35
-160,Values_ES,-2.35
-160,Values_IT,-2.35
-160,Values_BRA,-2.35
-159,Values_ARG,-2.35
-159,Values_FR,1.82
-159,Values_DE,1.82
-159,Values_ES,1.82
-159,Values_IT,1.82
-159,Values_BRA,1.82
-158,Values_ARG,-1.34
-158,Values_FR,-1.98
-158,Values_DE,-1.29
-158,Values_ES,0.43
-158,Values_IT,-0.1
-158,Values_BRA,-1.42
-157,Values_ARG,-1.17
-157,Values_FR,-1.41
-157,Values_DE,-0.64
-157,Values_ES,1.33
-157,Values_IT,-0.03
-157,Values_BRA,-1.1
-156,Values_ARG,-0.91
-156,Values_FR,-0.91
-156,Values_DE,-0.13
-156,Values_ES,-2.27
-156,Values_IT,0.85
-156,Values_BRA,2
-155,Values_ARG,-1.71
-155,Values_FR,-1.71
-155,Values_DE,1.54
-155,Values_ES,-5.94
-155,Values_IT,-1.34
-155,Values_BRA,-1.1
-154,Values_ARG,3.69
-154,Values_FR,1.2
-154,Values_DE,0.49
-154,Values_ES,-1.35
-154,Values_IT,-0.18
-154,Values_BRA,-0.18
-153,Values_ARG,-0.18
-153,Values_FR,-0.6
-153,Values_DE,-0.6
-153,Values_ES,-0.6
-153,Values_IT,-0.6
-153,Values_BRA,-0.6
-152,Values_ARG,-0.6
-152,Values_FR,1.1
-152,Values_DE,1.1
-152,Values_ES,1.1
-152,Values_IT,1.1
-152,Values_BRA,1.1
-151,Values_ARG,1.17
-151,Values_FR,1.11
-151,Values_DE,-0.13
-151,Values_ES,1.02
-151,Values_IT,1.25
-151,Values_BRA,-0.98
-150,Values_ARG,1.65
-150,Values_FR,1.13
-150,Values_DE,2.03
-150,Values_ES,0.68
-150,Values_IT,-0.41
